 356: 1-(2+7)*21+17*32
 357: 1-2*((7-17)*21+32)
 358: (1+2)*(7*21-17)-32
 359: (1-17)*2*(21-32)+7
 360: (1+2+7)*(21-17+32)
 361: 1-2*(7+17*(21-32))
 362: (1+2)*(7*21-32)+17
 363: 1-2+7*(17+32)+21
 364: 1+(2-7+17)*32-21
 365: 1-(2+17-32)*(7+21)
 366: 1*2+7*(17+32)+21
 367: 1+2+7*(17+32)+21
 368: (1+2)*7*17-21+32
 369: (1+2+21)*17-7-32
 370: (1-2*17)*(21-32)+7
 371: 1-(2+7-32)*17-21
 372: 1*2*(7*32-17-21)
 373: 1+2*(7*32-17-21)
 374: 1*(2+7)*(17+21)+32
 375: 1+(2+7)*(17+21)+32
 376: 1-2*7+17*21+32
 377: (1+2)*(21-17)*32-7
 378: (1+2)*(7*(32-17)+21)
 379: 1+(2+17+32)*7+21
 380: 1/2*32+7+17*21
 381: 1-2-7+17*21+32
 382: (1-2)*7+17*21+32
 383: (1+2)*21-(7-17)*32
 384: 1-(2/7-17)*21+32
 385: 1+2-7+17*21+32
 386: ((1-2)/7+17)*21+32
 387: 1-2+7*(21+32)+17
 388: (1+2)*(7*17+21)-32
 389: 1+2*(7-17*(21-32))
 390: (1+2)*(7*17-21+32)
 391: 1+(2-7-21)*(17-32)
 392: 1*2*7*(17-21+32)
 393: 1+2*7*(17-21+32)
 394: 1+2*(7*32-17)-21
 395: 1-2+7+17*21+32
 396: 1+(2/7+17)*21+32
 397: (1-2)*7*21+17*32
 398: ((1+2)/7+17)*21+32
 399: 1+2+7+17*21+32
 400: 1+2-7*21+17*32
 401: 1/2*((7+32)*21-17)
 402: 1-(2+7-21)*32+17
 403: 1*2*7+17*21+32
 404: 1+2*7+17*21+32
 405: (1+2)*(7-(17-21)*32)
 406: 1+(2-7+17)*32+21
 407: 1+2-(7-32)*17-21
 408: 1*(2*(7+21)-32)*17
 409: (1-2*(7-17))*21-32
 410: (1+2)*7+17*21+32
 411: 1-(2-7-21)*17-32
 412: (1+2+7)*(17+21)+32
 413: 1-2*((7-21)*17+32)
 414: 1*2*32-7+17*21
 415: 1-2*17-(7-21)*32
 416: (1+2/7+17)*21+32
 417: 1+(2+7-17+21)*32
 418: ((1+2)*7+17)*(32-21)
 419: 1-2-(7+21)*(17-32)
 420: (1+2*7)*(17-21+32)
 421: 1+(2+7)*(17+32)-21
 422: (1+2)*(7*21-17)+32
 423: 1+2-(7+21)*(17-32)
 424: 1+2*(7*32-21)+17
 425: 1-(2+7-17)*(21+32)
 426: (1+2)*7*21+17-32
 427: (1+2/7)*17*21-32
 428: 1*2*32+7+17*21
 429: (1-2-7+32)*17+21
 430: 1-2-(7-21)*32-17
 431: 1-(2-7-17)*21-32
 432: (1+2)*(7*17+32)-21
 433: (1-2-7+21)*32+17
 434: 1+2-(7-21)*32-17
 435: 1-2*7*17+21*32
 436: 1+2*(7+32)+17*21
 437: (1+2-7+17)*32+21
 438: 1*(2-7+32)*17-21
 439: 1*(2-7)*21+17*32
 440: 1+(2-7)*21+17*32
 441: (1+2)/7*(17+32)*21
 442: (1+2*7-21+32)*17
 443: 1-2+(7+21)*17-32
 444: 1*2*7*32+17-21
 445: 1-2*(7-21)*17-32
 446: 1*2+(7+21)*17-32
 447: 1+2+(7+21)*17-32
 448: (1+2+7-17+21)*32
 449: 1+2-(7-32)*17+21
 450: 1*(2+7+21)*(32-17)
 451: (1-2+7+17)*21-32
 452: (1+2)*(7*17+21)+32
 453: 1-2*(7-17)*21+32
 454: 1/2*(7+17*(21+32))
 455: (1+2-7+32)*17-21
 456: (1+2)*7*21-17+32
 457: 1+2*(7*32-17+21)
 458: (1/2+17)*(7+21)-32
 459: (1-2/7*21+32)*17
 460: (1+2-7)*21+17*32
 461: 1-2+(7-17+32)*21
 462: 1*(2+7)*(17+32)+21
 463: 1+(2+7)*(17+32)+21
 464: 1*2+(7-17+32)*21
 465: 1+2+(7-17+32)*21
 466: (1/2*32+7)*21-17
 467: 1*2-(7-21)*32+17
 468: (1-2*7)*(17-21-32)
 469: 1+2*(7*(17+21)-32)
 470: 1+7/2*32+17*21
 471: 1-2+(7+17)*21-32
 472: ((1+2)*17+21)*7-32
 473: (1-2*(7-17))*21+32
 474: 1*2+(7+17)*21-32
 475: 1+2+(7+17)*21-32
 476: (1+2*7)*32+17-21
 477: (1-2-7+17)*(21+32)
 478: 1*(2+7+21)*17-32
 479: 1+(2+7+21)*17-32
 480: 1*(2-7+32)*17+21
 481: (1/2-7+21)*32+17
 482: 1*2*17-(7-21)*32
 483: 1+2*17-(7-21)*32
 484: (1+2*7)*32-17+21
 485: 1-2*((7-17)*21-32)
 486: (1+2)*(7*21-17+32)
 487: 1+2*7*32+17+21
 488: (1+2)*21-(7-32)*17
 489: 1-2+7*(17+21+32)
 490: (1+2)*7*21+17+32
 491: (1+2/7)*17*21+32
 492: 1*2+7*(17+21+32)
 493: 1+2+7*(17+21+32)
 494: 1*(2+7)*(21+32)+17
 495: 1-(2-7-17)*21+32
 496: 1+(2-7+21)*32-17
 497: (1-2/7)*21*32+17
 498: (1-2+17)*32+7-21
 499: (1+2)*17-(7-21)*32
 500: 1*2*7*(17+21)-32
 501: 1+2*7*(17+21)-32
 502: (1+2)*(7-21)+17*32
 503: 1*2*(7*32+17)+21
 504: 1*(2+7-17+32)*21
 505: 1-2*7*(17-21-32)
 506: 1*(2+21)*(7-17+32)
 507: 1-2+(7+21)*17+32
 508: 1+2*(7*32+21)+17
 509: 1-2*(7-21)*17+32
 510: 1-2*7+17*32-21
 511: (1+2+7)*(17+32)+21
 512: (1+2-7)*(17-21)*32
 513: (1+2+7)*(21+32)-17
 514: 1*(2+7+17)*21-32
 515: 1+(2+7+17)*21-32
 516: (1+2)*(7*17+21+32)
 517: (1-2*(7+17))*(21-32)
 518: 1*2-7+17*32-21
 519: 1+2-7+17*32-21
 520: 1-(2+7)*17+21*32
 521: (1-2-7+32)*21+17
 522: (1/2+17)*(7+21)+32
 523: 1+2*(17-32/7)*21
 524: (1+2)*(7*21+17)+32
 525: (1/2+7)*(17+21+32)
 526: 1-(2*7+21)*(17-32)
 527: (1+2-7+21)*32-17
 528: 1*2*(7+17)*(32-21)
 529: 1-2-(7-17)*(21+32)
 530: ((1-2)*7+17)*(21+32)
 531: 1-(7+21)/2+17*32
 532: 1*2-(7-17)*(21+32)
 533: 1+2-(7-17)*(21+32)
 534: (1+2)*((17-7)*21-32)
 535: (1+2+7+17)*21-32
 536: (1-2-7)*17+21*32
 537: 1*2*7+17*32-21
